article_id,language,content
1,English,"1. Name and territory of the Union
(1) India, that is Bharat, shall be a Union of States
(2) The States and the territories thereof shall be as specified in the First Schedule
(3) The territory of India shall comprise"
1,Hindi,"1. संघ का नाम और क्षेत्र
(1) इंडिया अर्थात भारत, राज्यों का एक संघ होगा
(2) राज्य और उनके क्षेत्र पहली अनुसूची में निर्दिष्ट अनुसार होंगे
(3) भारत का क्षेत्र सम्मिलित होगा"
1,Tamil,"1. யூனியனின் பெயர் மற்றும் பிரதேசம்
(1) இந்தியா, அதாவது பாரதம், மாநிலங்களின் ஒன்றியமாக இருக்கும்
(2) மாநிலங்களும் அதன் பிரதேசங்களும் முதல் அட்டவணையில் குறிப்பிடப்பட்டுள்ளபடி இருக்க வேண்டும்
(3) இந்தியாவின் பிரதேசம் அடங்கியிருக்கும்"
1,Marathi,"1. संघाचे नाव आणि प्रदेश
(१) भारत, म्हणजेच भारत, राज्यांचे संघराज्य असेल
(२) राज्ये आणि त्यांचे प्रदेश पहिल्या अनुसूचीमध्ये नमूद केल्याप्रमाणे असतील
(३) भारताचा भूभाग समाविष्ट असेल"
1,English,1. The territories of the States; the Union territories specified in the First Schedule; and such other territories as may be acquired
1,Hindi,1. राज्यों के क्षेत्र; पहली अनुसूची में निर्दिष्ट केंद्र शासित प्रदेश; और ऐसे अन्य क्षेत्र जिनका अधिग्रहण किया जा सकता है
1,Tamil,1. மாநிலங்களின் பிரதேசங்கள்; முதல் அட்டவணையில் குறிப்பிடப்பட்டுள்ள யூனியன் பிரதேசங்கள்; மற்றும் கையகப்படுத்தக்கூடிய பிற பிரதேசங்கள்
1,Marathi,1. राज्यांचे प्रदेश; पहिल्या अनुसूचीमध्ये निर्दिष्ट केंद्रशासित प्रदेश; आणि अधिग्रहित केले जाऊ शकते असे इतर प्रदेश
2,English,"2. Admission or establishment of new States: Parliament may by law admit into the Union, or establish, new States on such terms and conditions, as it thinks fit"
2,Hindi,"2. नए राज्यों का प्रवेश या स्थापना: संसद कानून द्वारा ऐसे नियमों और शर्तों पर नए राज्यों को संघ में शामिल कर सकती है या स्थापित कर सकती है, जैसा वह उचित समझे।"
